OLMTA_V1_CONFIG {"seed": 17, "budget": 50000, "init": 96, "batch": 16, "pool": 60000, "ensemble": 3, "opt_gpu": 0, "eval_gpus": [0, 1], "eval_workers_per_gpu": 4, "initial_network": "immutable original OPTv1"}
/var/lib/cots-lamcts/jobs/olmta-v1-meta50k-run002b-20260915/src/validation/opt10_pretrain_completion_run.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.enc=nn.TransformerEncoder(el,layers,norm=nn.LayerNorm(d));self.recon=nn.Linear(d,B.FIELDS)
Q round1081-s17 8 (0, 21, 68, 17) 19.75572908844312 gpu 0
Q round1081-s17 9 (16, 53, 44, 17) 19.945913981452595 gpu 1
Q round1081-s17 10 (0, 69, 4, 1) 22.173987180819797 gpu 0
Q round1081-s17 11 (0, 53, 20, 25) 22.30957262175599 gpu 1
Q round1081-s17 12 (16, 69, 28, 25) 21.65684178919949 gpu 0
Q round1081-s17 13 (16, 5, 44, 38) 21.6038481970296 gpu cache
Q round1081-s17 14 (10, 71, 39, 45) 34.914859783971224 gpu 1
Q round1081-s17 15 (21, 40, 52, 40) 38.9811175551398 gpu 0
ROUND 1081 n 17392 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 75
Q round1082-s17 0 (0, 34, 44, 65) 21.03983595635165 gpu 1
Q round1082-s17 1 (0, 45, 28, 25) 22.247281013092298 gpu 0
Q round1082-s17 2 (0, 29, 20, 1) 18.810435683859716 gpu 1
Q round1082-s17 3 (0, 45, 12, 65) 21.799606027087197 gpu 0
Q round1082-s17 4 (0, 21, 4, 62) 20.555840034684458 gpu cache
Q round1082-s17 5 (0, 5, 52, 25) 22.3742365288966 gpu 1
Q round1082-s17 6 (0, 34, 4, 25) 23.199627680626605 gpu 0
Q round1082-s17 7 (16, 29, 44, 65) 21.478631292845275 gpu 1
Q round1082-s17 8 (0, 13, 12, 33) 21.20506907430215 gpu 0
Q round1082-s17 9 (0, 2, 36, 17) 20.655080372473062 gpu 1
Q round1082-s17 10 (16, 45, 28, 25) 22.900262642902632 gpu 0
Q round1082-s17 11 (16, 5, 68, 1) 20.91081607942847 gpu 1
Q round1082-s17 12 (0, 42, 52, 30) 21.627710369364973 gpu 0
Q round1082-s17 13 (7, 50, 68, 46) 55.962925563599136 gpu 1
Q round1082-s17 14 (69, 5, 41, 48) 37.853822154921374 gpu 0
Q round1082-s17 15 (18, 9, 68, 54) 51.66839934051949 gpu 1
ROUND 1082 n 17408 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 75
Q round1083-s17 0 (16, 34, 12, 17) 20.273087494727285 gpu 0
Q round1083-s17 1 (0, 45, 68, 25) 20.123546825856025 gpu 1
Q round1083-s17 2 (0, 29, 52, 57) 21.332603084277363 gpu cache
Q round1083-s17 3 (16, 53, 4, 65) 21.205743000095374 gpu 0
Q round1083-s17 4 (0, 66, 68, 63) 22.200841460691244 gpu 1
Q round1083-s17 5 (7, 2, 20, 6) 59.19047555840189 gpu 0
Q round1083-s17 6 (7, 50, 12, 46) 53.59426319663027 gpu 1
Q round1083-s17 7 (16, 34, 4, 1) 20.185481890495126 gpu 0
Q round1083-s17 8 (16, 18, 60, 49) 20.929559936398594 gpu 1
Q round1083-s17 9 (7, 50, 28, 46) 56.22720111744806 gpu 0
Q round1083-s17 10 (7, 2, 20, 22) 58.46760667653009 gpu 1
Q round1083-s17 11 (0, 10, 12, 54) 19.241353230617825 gpu 0
Q round1083-s17 12 (16, 66, 20, 46) 22.063425751067165 gpu 1
Q round1083-s17 13 (0, 66, 12, 41) 23.313141810935235 gpu 0
Q round1083-s17 14 (45, 57, 42, 34) 131.17899966438677 gpu 1
Q round1083-s17 15 (46, 6, 47, 60) 116.48739003313543 gpu 0
ROUND 1083 n 17424 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 75
Q round1084-s17 0 (0, 5, 4, 39) 20.82626886686026 gpu cache
Q round1084-s17 1 (0, 66, 28, 39) 22.021403238164705 gpu 1
Q round1084-s17 2 (0, 53, 44, 25) 22.862608508504792 gpu 0
Q round1084-s17 3 (16, 29, 68, 65) 21.779111771558377 gpu 1
Q round1084-s17 4 (0, 45, 44, 17) 21.480337435161676 gpu 0
Q round1084-s17 5 (16, 34, 52, 65) 22.63839138091912 gpu 1
Q round1084-s17 6 (16, 5, 60, 25) 21.95459030393549 gpu 0
Q round1084-s17 7 (0, 69, 20, 1) 21.355293525918643 gpu 1
Q round1084-s17 8 (0, 58, 44, 49) 22.556466413031426 gpu 0
Q round1084-s17 9 (16, 66, 52, 49) 24.81960109595099 gpu 1
Q round1084-s17 10 (0, 58, 20, 62) 22.789043430935592 gpu 0
Q round1084-s17 11 (0, 21, 4, 41) 21.6820254500171 gpu 1
Q round1084-s17 12 (0, 5, 52, 1) 23.921844703652713 gpu 0
Q round1084-s17 13 (16, 45, 68, 25) 21.690002570765557 gpu 1
Q round1084-s17 14 (20, 32, 15, 52) 48.05213509393046 gpu 0
Q round1084-s17 15 (2, 17, 41, 63) 55.05462008754607 gpu 1
ROUND 1084 n 17440 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 75
Q round1085-s17 0 (16, 45, 36, 33) 20.250004720468926 gpu 0
Q round1085-s17 1 (0, 69, 68, 57) 20.358871149416316 gpu 1
Q round1085-s17 2 (16, 69, 52, 33) 20.378005268061898 gpu cache
Q round1085-s17 3 (16, 13, 12, 32) 20.86368453238457 gpu 0
Q round1085-s17 4 (16, 53, 12, 65) 21.16495395066192 gpu 1
Q round1085-s17 5 (0, 5, 20, 39) 21.35573002802484 gpu cache
Q round1085-s17 6 (16, 58, 12, 17) 22.416316417874103 gpu 0
Q round1085-s17 7 (16, 5, 20, 39) 21.701511146246887 gpu cache
Q round1085-s17 8 (16, 5, 36, 32) 22.112145215983084 gpu 1
Q round1085-s17 9 (0, 69, 68, 33) 22.216489031144693 gpu cache
Q round1085-s17 10 (0, 58, 36, 33) 23.08797578596702 gpu 0
Q round1085-s17 11 (16, 5, 12, 64) 21.23999608438151 gpu 1
Q round1085-s17 12 (0, 58, 28, 25) 23.720657104857064 gpu 0
Q round1085-s17 13 (0, 66, 12, 39) 23.81824421618382 gpu 1
Q round1085-s17 14 (15, 53, 41, 27) 39.06740126848096 gpu 0
Q round1085-s17 15 (57, 23, 36, 50) 226.89541886601174 gpu 1
ROUND 1085 n 17456 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 75
Q round1086-s17 0 (0, 45, 44, 1) 20.74249342374964 gpu 0
Q round1086-s17 1 (16, 29, 28, 25) 19.777800741621313 gpu 1
Q round1086-s17 2 (16, 29, 44, 1) 19.435669915194122 gpu 0
Q round1086-s17 3 (16, 53, 44, 49) 20.80378241238775 gpu 1
Q round1086-s17 4 (16, 29, 28, 65) 20.26539637711195 gpu 0
Q round1086-s17 5 (16, 5, 4, 39) 22.102536839786247 gpu cache
Q round1086-s17 6 (16, 5, 52, 65) 21.799900793348044 gpu 1
Q round1086-s17 7 (0, 58, 4, 62) 23.342894437832218 gpu 0
Q round1086-s17 8 (0, 58, 68, 25) 21.680673672422188 gpu 1
Q round1086-s17 9 (16, 58, 60, 57) 21.906311196395833 gpu 0
Q round1086-s17 10 (0, 21, 52, 25) 23.91090923349183 gpu 1
Q round1086-s17 11 (16, 5, 28, 1) 24.132995337582102 gpu 0
Q round1086-s17 12 (16, 69, 44, 25) 21.591808374501504 gpu 1
Q round1086-s17 13 (16, 45, 4, 49) 21.584802328073025 gpu 0
Q round1086-s17 14 (29, 28, 70, 30) 57.453185942500774 gpu 1
Q round1086-s17 15 (38, 22, 0, 32) 115.82583297148858 gpu 0
TRIGGER_UPDATE 1086 17472 ['stagnation', 'eligible_collapse'] {"new_labels_since_update": 256, "evals_since_best": 869, "recent_n": 128, "recent_spearman": 0.7042437282548983, "recent_high_uncertainty_fraction": 0.125, "sigma_ref_p90": 0.04028889909386635, "eligible_pool": 0, "eligible_floor": 120}
ROUND 1086 n 17472 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 1 updates_total 76
Q round1087-s17 0 (0, 53, 4, 17) 19.65626725154943 gpu 1
Q round1087-s17 1 (16, 29, 44, 17) 20.297235394880936 gpu 0
Q round1087-s17 2 (16, 53, 4, 17) 22.21230155022123 gpu 1
Q round1087-s17 3 (16, 29, 20, 1) 20.94307640193898 gpu 0
Q round1087-s17 4 (16, 58, 12, 1) 20.746025319319113 gpu 1
Q round1087-s17 5 (0, 29, 12, 65) 19.23531040063357 gpu 0
Q round1087-s17 6 (0, 5, 36, 57) 18.426360307062733 gpu 1
Q round1087-s17 7 (0, 53, 12, 57) 21.744063063920834 gpu cache
Q round1087-s17 8 (16, 53, 44, 65) 22.114357603317377 gpu 0
Q round1087-s17 9 (16, 13, 44, 32) 21.627316848284412 gpu 1
Q round1087-s17 10 (16, 2, 12, 22) 22.98575126095773 gpu 0
Q round1087-s17 11 (0, 69, 12, 32) 20.06750525328774 gpu cache
Q round1087-s17 12 (0, 13, 44, 32) 20.573011941073847 gpu 1
Q round1087-s17 13 (0, 45, 68, 17) 24.082949133882597 gpu 0
Q round1087-s17 14 (17, 39, 43, 66) 68.10631495868317 gpu 1
Q round1087-s17 15 (10, 60, 4, 23) 69.8429857622061 gpu 0
ROUND 1087 n 17488 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1088-s17 0 (16, 53, 4, 1) 21.632445435360488 gpu 1
Q round1088-s17 1 (0, 53, 4, 49) 20.14349152443279 gpu 0
Q round1088-s17 2 (0, 29, 44, 1) 22.864413154181715 gpu 1
Q round1088-s17 3 (16, 29, 52, 33) 21.411441812439968 gpu 0
Q round1088-s17 4 (0, 13, 4, 56) 20.74185047666348 gpu 1
Q round1088-s17 5 (0, 69, 44, 17) 23.5310262821695 gpu 0
Q round1088-s17 6 (0, 21, 4, 63) 21.507608032615057 gpu cache
Q round1088-s17 7 (16, 69, 44, 1) 23.63398127554436 gpu 1
Q round1088-s17 8 (16, 45, 12, 8) 22.016276424576123 gpu 0
Q round1088-s17 9 (0, 69, 28, 32) 21.3616662881756 gpu cache
Q round1088-s17 10 (16, 45, 28, 56) 21.543190344682408 gpu cache
Q round1088-s17 11 (16, 29, 68, 56) 20.53698196024324 gpu cache
Q round1088-s17 12 (16, 5, 60, 57) 21.90795385888006 gpu 1
Q round1088-s17 13 (16, 13, 12, 33) 21.170281950889695 gpu 0
Q round1088-s17 14 (1, 70, 66, 34) 245.37792657590768 gpu 1
Q round1088-s17 15 (49, 46, 30, 55) 93.16115184169855 gpu 0
ROUND 1088 n 17504 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1089-s17 0 (16, 53, 20, 49) 20.61200503487059 gpu 1
Q round1089-s17 1 (16, 53, 20, 17) 22.390612729477194 gpu 0
Q round1089-s17 2 (0, 53, 20, 65) 21.79759333196184 gpu 1
Q round1089-s17 3 (0, 29, 52, 33) 21.592985374833795 gpu cache
Q round1089-s17 4 (16, 53, 4, 38) 20.75575651185821 gpu 0
Q round1089-s17 5 (16, 69, 12, 56) 20.945827542656712 gpu cache
Q round1089-s17 6 (16, 69, 4, 65) 20.66068043423154 gpu 1
Q round1089-s17 7 (0, 5, 36, 33) 20.715769445685915 gpu 0
Q round1089-s17 8 (0, 69, 12, 25) 18.722977656855598 gpu 1
Q round1089-s17 9 (0, 53, 68, 33) 21.521762408359116 gpu 0
Q round1089-s17 10 (0, 45, 28, 17) 24.886086701206914 gpu 1
Q round1089-s17 11 (0, 10, 12, 30) 22.74013712759488 gpu 0
Q round1089-s17 12 (16, 45, 68, 1) 24.387228641484647 gpu 1
Q round1089-s17 13 (0, 5, 68, 64) 21.367289593397008 gpu 0
Q round1089-s17 14 (44, 30, 39, 4) 44.33792374439661 gpu 1
Q round1089-s17 15 (29, 64, 3, 18) 118.18908751373236 gpu 0
ROUND 1089 n 17520 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1090-s17 0 (16, 69, 52, 57) 21.04491822957277 gpu cache
Q round1090-s17 1 (0, 29, 68, 25) 22.27422720847966 gpu 1
Q round1090-s17 2 (16, 13, 12, 25) 21.47441134994901 gpu 0
Q round1090-s17 3 (16, 53, 12, 57) 22.067586425215318 gpu 1
Q round1090-s17 4 (16, 10, 12, 46) 23.428485443357346 gpu 0
Q round1090-s17 5 (0, 21, 20, 39) 21.070737456540385 gpu cache
Q round1090-s17 6 (16, 5, 60, 65) 21.402434774866684 gpu 1
Q round1090-s17 7 (16, 69, 20, 25) 22.05176366452831 gpu 0
Q round1090-s17 8 (16, 45, 44, 1) 22.02657474635123 gpu 1
Q round1090-s17 9 (0, 45, 20, 1) 21.909512468304683 gpu 0
Q round1090-s17 10 (16, 13, 4, 17) 22.66614370173421 gpu 1
Q round1090-s17 11 (0, 10, 36, 49) 23.364548977050173 gpu 0
Q round1090-s17 12 (16, 21, 68, 1) 21.816636763548253 gpu 1
Q round1090-s17 13 (16, 5, 44, 41) 22.190452098852163 gpu 0
Q round1090-s17 14 (3, 50, 56, 3) 91.512435770729 gpu 1
Q round1090-s17 15 (55, 22, 66, 3) 100.15505359099728 gpu 0
ROUND 1090 n 17536 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1091-s17 0 (16, 13, 20, 56) 20.910838890892947 gpu 1
Q round1091-s17 1 (0, 53, 20, 1) 21.23961616119849 gpu 0
Q round1091-s17 2 (0, 13, 44, 56) 21.882381262303408 gpu cache
Q round1091-s17 3 (16, 69, 68, 32) 21.001891491408102 gpu cache
Q round1091-s17 4 (0, 21, 12, 63) 22.737601055804088 gpu 1
Q round1091-s17 5 (0, 5, 12, 49) 22.82182409136963 gpu 0
Q round1091-s17 6 (16, 5, 60, 32) 20.15972739766768 gpu 1
Q round1091-s17 7 (0, 21, 28, 39) 22.09608610507847 gpu 0
Q round1091-s17 8 (16, 34, 12, 1) 21.032996970164643 gpu 1
Q round1091-s17 9 (16, 45, 28, 1) 24.295856713790016 gpu 0
Q round1091-s17 10 (0, 13, 44, 57) 21.55015478592889 gpu 1
Q round1091-s17 11 (16, 45, 20, 64) 21.551830491817906 gpu 0
Q round1091-s17 12 (16, 21, 60, 32) 21.84137997154702 gpu 1
Q round1091-s17 13 (0, 34, 12, 17) 21.94514597659138 gpu 0
Q round1091-s17 14 (40, 56, 15, 60) 87.53318506989345 gpu 1
Q round1091-s17 15 (31, 45, 59, 59) 320.4218655370693 gpu 0
ROUND 1091 n 17552 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1092-s17 0 (16, 29, 20, 62) 19.731232126504263 gpu 1
Q round1092-s17 1 (0, 5, 12, 1) 23.332083763520526 gpu 0
Q round1092-s17 2 (16, 13, 4, 49) 22.65530411737805 gpu 1
Q round1092-s17 3 (16, 53, 44, 25) 21.565198541583136 gpu 0
Q round1092-s17 4 (0, 69, 52, 57) 24.06030676182362 gpu cache
Q round1092-s17 5 (16, 66, 60, 41) 21.47235410458517 gpu 1
Q round1092-s17 6 (16, 13, 44, 57) 22.326867573660422 gpu 0
Q round1092-s17 7 (0, 18, 20, 54) 22.647792448157748 gpu 1
Q round1092-s17 8 (0, 42, 44, 22) 23.556422429533775 gpu 0
Q round1092-s17 9 (16, 42, 52, 6) 22.328807383125554 gpu 1
Q round1092-s17 10 (16, 13, 20, 49) 23.140990455136535 gpu 0
Q round1092-s17 11 (0, 2, 60, 17) 20.846713386707616 gpu 1
Q round1092-s17 12 (0, 5, 20, 41) 21.56710117187744 gpu 0
Q round1092-s17 13 (16, 5, 20, 70) 22.44834188282513 gpu 1
Q round1092-s17 14 (40, 9, 61, 40) 116.03996526328012 gpu 0
Q round1092-s17 15 (37, 8, 32, 62) 71.20252264187822 gpu 1
ROUND 1092 n 17568 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1093-s17 0 (0, 13, 20, 56) 20.53910713416458 gpu 0
Q round1093-s17 1 (16, 29, 12, 56) 20.42180468455784 gpu 1
Q round1093-s17 2 (0, 5, 60, 57) 19.373390624859194 gpu 0
Q round1093-s17 3 (0, 29, 4, 65) 20.28514718338323 gpu 1
Q round1093-s17 4 (16, 5, 68, 39) 20.829285991274844 gpu 0
Q round1093-s17 5 (16, 21, 36, 32) 19.74942183626313 gpu 1
Q round1093-s17 6 (0, 21, 52, 65) 21.732211098868387 gpu 0
Q round1093-s17 7 (0, 69, 44, 49) 24.897206011112853 gpu 1
Q round1093-s17 8 (0, 53, 4, 25) 22.428861287584745 gpu 0
Q round1093-s17 9 (16, 21, 36, 57) 21.30356972579078 gpu 1
Q round1093-s17 10 (16, 13, 28, 32) 22.126109440667186 gpu 0
Q round1093-s17 11 (0, 69, 28, 33) 21.999123479274147 gpu cache
Q round1093-s17 12 (16, 21, 20, 63) 21.504932434072636 gpu cache
Q round1093-s17 13 (0, 45, 4, 1) 21.403564983324923 gpu 1
Q round1093-s17 14 (10, 35, 28, 36) 123.64588079814351 gpu 0
Q round1093-s17 15 (9, 30, 44, 5) 110.89706915915303 gpu 1
ROUND 1093 n 17584 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1094-s17 0 (0, 45, 60, 33) 21.29811804560098 gpu 0
Q round1094-s17 1 (16, 5, 28, 39) 21.221504210273288 gpu cache
Q round1094-s17 2 (0, 53, 28, 32) 21.652562878434562 gpu 1
Q round1094-s17 3 (0, 13, 28, 57) 23.233201348758133 gpu 0
Q round1094-s17 4 (0, 13, 52, 33) 22.646021612451108 gpu 1
Q round1094-s17 5 (16, 53, 28, 25) 20.31623065455119 gpu 0
Q round1094-s17 6 (16, 53, 4, 62) 22.661718679157936 gpu 1
Q round1094-s17 7 (16, 69, 20, 62) 22.329886242992163 gpu 0
Q round1094-s17 8 (16, 53, 68, 33) 21.42223979983602 gpu 1
Q round1094-s17 9 (16, 29, 52, 32) 21.15053799100011 gpu 0
Q round1094-s17 10 (16, 29, 44, 62) 22.89054607733953 gpu cache
Q round1094-s17 11 (16, 53, 20, 62) 21.099456909657036 gpu 1
Q round1094-s17 12 (0, 21, 4, 38) 21.174872819351975 gpu cache
Q round1094-s17 13 (16, 21, 44, 38) 21.714431401287577 gpu cache
Q round1094-s17 14 (62, 33, 4, 17) 50.40845108858712 gpu 0
Q round1094-s17 15 (55, 44, 60, 46) 52.16652456410998 gpu 1
ROUND 1094 n 17600 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1095-s17 0 (0, 29, 20, 17) 20.610233766577306 gpu 0
Q round1095-s17 1 (16, 29, 4, 49) 20.77521677290002 gpu 1
Q round1095-s17 2 (16, 29, 68, 57) 21.66683885758036 gpu cache
Q round1095-s17 3 (0, 21, 44, 63) 19.80817166456783 gpu cache
Q round1095-s17 4 (16, 53, 20, 1) 21.587411365524993 gpu 0
Q round1095-s17 5 (0, 29, 12, 32) 21.945202383485857 gpu cache
Q round1095-s17 6 (16, 29, 4, 41) 21.579355815148908 gpu 1
Q round1095-s17 7 (16, 69, 44, 56) 22.275541986080448 gpu 0
Q round1095-s17 8 (16, 69, 68, 33) 22.92694271308359 gpu cache
Q round1095-s17 9 (0, 69, 28, 25) 25.210946252604096 gpu 1
Q round1095-s17 10 (0, 21, 12, 1) 22.50641994844905 gpu 0
Q round1095-s17 11 (0, 13, 68, 57) 23.85360209342123 gpu cache
Q round1095-s17 12 (16, 29, 4, 65) 21.673928814965 gpu 1
Q round1095-s17 13 (0, 13, 12, 25) 24.885490117351853 gpu 0
Q round1095-s17 14 (69, 57, 1, 51) 266.4701663827593 gpu 1
Q round1095-s17 15 (21, 36, 52, 5) 100.5317451724336 gpu 0
ROUND 1095 n 17616 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1096-s17 0 (0, 53, 4, 1) 21.396550762828006 gpu 1
Q round1096-s17 1 (0, 29, 68, 32) 22.117752351873698 gpu cache
Q round1096-s17 2 (0, 21, 20, 63) 21.741155314993758 gpu cache
Q round1096-s17 3 (0, 29, 28, 25) 22.82891671596007 gpu 0
Q round1096-s17 4 (0, 13, 12, 32) 23.386581309038906 gpu 1
Q round1096-s17 5 (0, 13, 4, 32) 21.72535283774224 gpu 0
Q round1096-s17 6 (16, 21, 36, 56) 23.327098880440108 gpu 1
Q round1096-s17 7 (0, 5, 20, 38) 21.391583352720797 gpu cache
Q round1096-s17 8 (16, 29, 20, 65) 21.842915309616338 gpu 0
Q round1096-s17 9 (16, 66, 36, 38) 22.107660379379457 gpu 1
Q round1096-s17 10 (16, 18, 68, 46) 22.538272933236478 gpu 0
Q round1096-s17 11 (0, 45, 4, 17) 21.888064903598153 gpu 1
Q round1096-s17 12 (16, 58, 44, 38) 23.9972390676428 gpu 0
Q round1096-s17 13 (16, 58, 52, 41) 21.49848787119559 gpu 1
Q round1096-s17 14 (15, 67, 14, 37) 57.82585126945689 gpu 0
Q round1096-s17 15 (26, 11, 55, 11) 194.14581838170713 gpu 1
ROUND 1096 n 17632 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1097-s17 0 (0, 29, 44, 17) 20.524864480113212 gpu 0
Q round1097-s17 1 (0, 53, 44, 17) 23.125854218607277 gpu 1
Q round1097-s17 2 (16, 53, 44, 1) 23.25847444381912 gpu 0
Q round1097-s17 3 (16, 53, 12, 25) 20.094836733686087 gpu 1
Q round1097-s17 4 (16, 5, 52, 8) 20.45285006758739 gpu 0
Q round1097-s17 5 (16, 69, 68, 25) 22.51972695204969 gpu 1
Q round1097-s17 6 (0, 21, 12, 64) 20.612029428847926 gpu 0
Q round1097-s17 7 (0, 29, 28, 56) 22.459220758991744 gpu cache
Q round1097-s17 8 (0, 69, 4, 38) 21.99697540846356 gpu 1
Q round1097-s17 9 (16, 69, 28, 56) 21.60132778549714 gpu cache
Q round1097-s17 10 (0, 13, 52, 9) 21.783141713926007 gpu 0
Q round1097-s17 11 (16, 13, 68, 32) 21.813595761993188 gpu 1
Q round1097-s17 12 (16, 53, 20, 25) 22.007755587781382 gpu 0
Q round1097-s17 13 (16, 5, 44, 48) 22.7236982106505 gpu 1
Q round1097-s17 14 (50, 41, 30, 3) 468.4198478187861 gpu 0
Q round1097-s17 15 (3, 39, 48, 21) 40.52404240147062 gpu 1
ROUND 1097 n 17648 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1098-s17 0 (0, 13, 28, 33) 18.983928912237843 gpu 0
Q round1098-s17 1 (16, 21, 68, 39) 21.20998927526324 gpu 1
Q round1098-s17 2 (0, 21, 12, 49) 24.206895144964545 gpu 0
Q round1098-s17 3 (0, 69, 68, 25) 24.431872133068843 gpu 1
Q round1098-s17 4 (0, 21, 60, 32) 21.205562454349295 gpu 0
Q round1098-s17 5 (0, 29, 4, 25) 22.109086555918555 gpu 1
Q round1098-s17 6 (16, 45, 12, 64) 21.992178327164915 gpu 0
Q round1098-s17 7 (16, 45, 52, 57) 22.603710309074998 gpu 1
Q round1098-s17 8 (16, 66, 52, 63) 21.384169905243574 gpu 0
Q round1098-s17 9 (16, 5, 68, 17) 24.28740234521762 gpu 1
Q round1098-s17 10 (16, 18, 60, 1) 21.196311810115716 gpu 0
Q round1098-s17 11 (16, 69, 28, 65) 24.224370785915337 gpu 1
Q round1098-s17 12 (16, 21, 44, 41) 22.5828840739659 gpu 0
Q round1098-s17 13 (16, 18, 28, 46) 22.82605106514927 gpu 1
Q round1098-s17 14 (42, 40, 3, 65) 198.3292967616166 gpu 0
Q round1098-s17 15 (68, 22, 45, 27) 127.21896131863205 gpu 1
ROUND 1098 n 17664 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1099-s17 0 (0, 53, 68, 57) 20.178576873434775 gpu cache
Q round1099-s17 1 (0, 5, 12, 64) 21.790290064599372 gpu 0
Q round1099-s17 2 (0, 5, 52, 56) 23.083582787228558 gpu 1
Q round1099-s17 3 (0, 53, 12, 56) 21.92651221719069 gpu 0
Q round1099-s17 4 (0, 45, 44, 63) 21.775770334726353 gpu cache
Q round1099-s17 5 (16, 58, 36, 57) 21.682361206998397 gpu 1
Q round1099-s17 6 (16, 45, 44, 8) 21.801278746389944 gpu 0
Q round1099-s17 7 (0, 5, 36, 32) 23.677937245799452 gpu 1
Q round1099-s17 8 (0, 13, 20, 32) 21.849780344075736 gpu 0
Q round1099-s17 9 (0, 29, 44, 38) 22.26105040836533 gpu 1
Q round1099-s17 10 (16, 21, 4, 39) 22.095693942480978 gpu cache
Q round1099-s17 11 (16, 45, 44, 24) 22.94905316698183 gpu 0
Q round1099-s17 12 (16, 5, 4, 62) 21.47157201444771 gpu 1
Q round1099-s17 13 (16, 34, 44, 65) 22.78736583065646 gpu 0
Q round1099-s17 14 (46, 19, 46, 2) 45.93844877149894 gpu 1
Q round1099-s17 15 (12, 7, 3, 38) 37.6548114379315 gpu 0
ROUND 1099 n 17680 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1100-s17 0 (0, 69, 4, 25) 21.479708836337103 gpu 1
Q round1100-s17 1 (0, 29, 44, 25) 21.806033421611684 gpu 0
Q round1100-s17 2 (0, 5, 12, 17) 23.221473351533042 gpu 1
Q round1100-s17 3 (16, 45, 20, 24) 21.942501421848952 gpu 0
Q round1100-s17 4 (0, 69, 44, 1) 24.126631618652212 gpu 1
Q round1100-s17 5 (16, 69, 44, 38) 23.0180879132079 gpu 0
Q round1100-s17 6 (0, 42, 36, 41) 21.431634340191 gpu 1
Q round1100-s17 7 (16, 5, 60, 33) 23.929668937496803 gpu 0
Q round1100-s17 8 (16, 66, 60, 62) 21.545274513702665 gpu 1
Q round1100-s17 9 (0, 34, 4, 65) 23.047176340390862 gpu 0
Q round1100-s17 10 (0, 42, 52, 70) 23.496128811444436 gpu 1
Q round1100-s17 11 (16, 13, 20, 32) 22.841312919207823 gpu 0
Q round1100-s17 12 (16, 5, 20, 62) 21.410811499950213 gpu 1
Q round1100-s17 13 (16, 18, 36, 17) 20.828701789728512 gpu 0
Q round1100-s17 14 (28, 16, 17, 46) 60.60439856691954 gpu 1
Q round1100-s17 15 (26, 33, 58, 3) 109.89107163663024 gpu 0
ROUND 1100 n 17696 bestJ 10.843484299878748 best (0, 2, 20, 6) eligible 0 update 0 updates_total 76
Q round1101-s17 0 (16, 29, 20, 17) 20.96367557931291 gpu 1
Q round1101-s17 1 (0, 5, 68, 8) 21.38884248528455 gpu 0
Q round1101-s17 2 (16, 21, 60, 25) 22.3380233999305 gpu 1
Q round1101-s17 3 (16, 13, 4, 32) 22.884242239363715 gpu 0
Q round1101-s17 4 (0, 21, 20, 38) 21.95596267066261 gpu cache
Q round1101-s17 5 (0, 42, 68, 54) 23.211077453105606 gpu 1
Q round1101-s17 6 (0, 21, 20, 41) 21.465952862149024 gpu 0
Q round1101-s17 7 (0, 26, 20, 54) 23.269958025771555 gpu 1
Q round1101-s17 8 (0, 26, 36, 65) 23.44393689331898 gpu 0
Q round1101-s17 9 (0, 66, 52, 39) 23.297019812348626 gpu 1
Q round1101-s17 10 (16, 5, 28, 17) 22.549972257584322 gpu 0
Q round1101-s17 11 (0, 42, 28, 54) 22.92963352735945 gpu 1
Q round1101-s17 12 (16, 45, 44, 17) 22.268929537098575 gpu 0
Q round1101-s17 13 (0, 13, 4, 49) 23.686343494962813 gpu 1
Q round1101-s17 14 (27, 66, 48, 29) 133.5326854936701 gpu 0
